messagecode,meldeklasse,priority,kurztext_2,kurztext_3,kurztext_4
25221,C,green,КЛИП: +2 АЗВ КЛИП 02,Поступило ДС 25221 КЛИП: +2 АЗВ КЛИП 02,Более не активно ДС 25221 КЛИП: +2 АЗВ КЛИП 02
25222,D,ignore,+2 SKS 02 Сдвиговый регистр ошибок,Поступило ДС 25222 +2 SKS 02 Сдвиговый регистр ошибок,Более не активно ДС 25222 +2 SKS 02 Сдвиговый регистр ошибок
25223,D,ignore,+2 SKS 02 NSDB-Ошибка,Поступило ДС 25223 +2 SKS 02 NSDB-Ошибка,Более не активно ДС 25223 +2 SKS 02 NSDB-Ошибка
25224,D,ignore,+2 SKS 02 Ошибка компонента,Поступило ДС 25224 +2 SKS 02 Ошибка компонента,Более не активно ДС 25224 +2 SKS 02 Ошибка компонента
25230,B,yellow,MVB:  +2 КЛИП 03 ошибка связи,Поступило ДС 25230 MVB:  +2 КЛИП 03 ошибка связи,Более не активно ДС 25230 MVB:  +2 КЛИП 03 ошибка связи
25231,C,green,КЛИП: +2 АЗВ КЛИП 03,Поступило ДС 25231 КЛИП: +2 АЗВ КЛИП 03,Более не активно ДС 25231 КЛИП: +2 АЗВ КЛИП 03
25232,D,ignore,+2 SKS 03 Сдвиговый регистр ошибок,Поступило ДС 25232 +2 SKS 03 Сдвиговый регистр ошибок,Более не активно ДС 25232 +2 SKS 03 Сдвиговый регистр ошибок
25233,D,ignore,+2 SKS 03 NSDB-Ошибка,Поступило ДС 25233 +2 SKS 03 NSDB-Ошибка,Более не активно ДС 25233 +2 SKS 03 NSDB-Ошибка
25234,D,ignore,+2 SKS 03 Ошибка компонента,Поступило ДС 25234 +2 SKS 03 Ошибка компонента,Более не активно ДС 25234 +2 SKS 03 Ошибка компонента
25260,B,yellow,MVB:  +2 КЛИП 06 ошибка связи,Поступило ДС 25260 MVB:  +2 КЛИП 06 ошибка связи,Более не активно ДС 25260 MVB:  +2 КЛИП 06 ошибка связи
25261,C,green,КЛИП: +2 АЗВ КЛИП 06,Поступило ДС 25261 КЛИП: +2 АЗВ КЛИП 06,Более не активно ДС 25261 КЛИП: +2 АЗВ КЛИП 06
25262,D,ignore,+2 SKS 06 Сдвиговый регистр ошибок,Поступило ДС 25262 +2 SKS 06 Сдвиговый регистр ошибок,Более не активно ДС 25262 +2 SKS 06 Сдвиговый регистр ошибок
25263,D,ignore,+2 SKS 06 NSDB-Ошибка,Поступило ДС 25263 +2 SKS 06 NSDB-Ошибка,Более не активно ДС 25263 +2 SKS 06 NSDB-Ошибка
25264,D,ignore,+2 SKS 06 Ошибка компонента,Поступило ДС 25264 +2 SKS 06 Ошибка компонента,Более не активно ДС 25264 +2 SKS 06 Ошибка компонента
25310,B,yellow,MVB:  +3 КЛИП 01 ошибка связи,Поступило ДС 25310 MVB:  +3 КЛИП 01 ошибка связи,Более не активно ДС 25310 MVB:  +3 КЛИП 01 ошибка связи
25311,C,green,КЛИП: +3 АЗВ КЛИП 01,Поступило ДС 25311 КЛИП: +3 АЗВ КЛИП 01,Более не активно ДС 25311 КЛИП: +3 АЗВ КЛИП 01
25312,D,ignore,+3 БСС 01 Сдвиговый регистр ошибок,Поступило ДС 25312 +3 БСС 01 Сдвиговый регистр ошибок,Более не активно ДС 25312 +3 БСС 01 Сдвиговый регистр ошибок
25313,D,ignore,+3 SKS 01 NSDB-Ошибка,Поступило ДС 25313 +3 SKS 01 NSDB-Ошибка,Более не активно ДС 25313 +3 SKS 01 NSDB-Ошибка
25314,D,ignore,+3 SKS 01 Ошибка компонента,Поступило ДС 25314 +3 SKS 01 Ошибка компонента,Более не активно ДС 25314 +3 SKS 01 Ошибка компонента
25320,B,yellow,MVB:  +3 КЛИП 02 ошибка связи,Поступило ДС 25320 MVB:  +3 КЛИП 02 ошибка связи,Более не активно ДС 25320 MVB:  +3 КЛИП 02 ошибка связи
25321,C,green,КЛИП: +3 АЗВ КЛИП 02,Поступило ДС 25321 КЛИП: +3 АЗВ КЛИП 02,Более не активно ДС 25321 КЛИП: +3 АЗВ КЛИП 02
25322,D,ignore,+3 SKS 02 Сдвиговый регистр ошибок,Поступило ДС 25322 +3 SKS 02 Сдвиговый регистр ошибок,Более не активно ДС 25322 +3 SKS 02 Сдвиговый регистр ошибок
25323,D,ignore,+3 SKS 02 NSDB-Ошибка,Поступило ДС 25323 +3 SKS 02 NSDB-Ошибка,Более не активно ДС 25323 +3 SKS 02 NSDB-Ошибка
25324,D,ignore,+3 SKS 02 Ошибка компонента,Поступило ДС 25324 +3 SKS 02 Ошибка компонента,Более не активно ДС 25324 +3 SKS 02 Ошибка компонента
25330,B,yellow,MVB:  +3 КЛИП 03 ошибка связи,Поступило ДС 25330 MVB:  +3 КЛИП 03 ошибка связи,Более не активно ДС 25330 MVB:  +3 КЛИП 03 ошибка связи
25331,C,green,КЛИП: +3 АЗВ КЛИП 03,Поступило ДС 25331 КЛИП: +3 АЗВ КЛИП 03,Более не активно ДС 25331 КЛИП: +3 АЗВ КЛИП 03
25332,D,ignore,+3 SKS 03 Сдвиговый регистр ошибок,Поступило ДС 25332 +3 SKS 03 Сдвиговый регистр ошибок,Более не активно ДС 25332 +3 SKS 03 Сдвиговый регистр ошибок
25333,D,ignore,+3 SKS 03 NSDB-Ошибка,Поступило ДС 25333 +3 SKS 03 NSDB-Ошибка,Более не активно ДС 25333 +3 SKS 03 NSDB-Ошибка
25334,D,ignore,+3 SKS 03 Ошибка компонента,Поступило ДС 25334 +3 SKS 03 Ошибка компонента,Более не активно ДС 25334 +3 SKS 03 Ошибка компонента
25340,B,yellow,MVB:  +3 КЛИП 04 ошибка связи,Поступило ДС 25340 MVB:  +3 КЛИП 04 ошибка связи,Более не активно ДС 25340 MVB:  +3 КЛИП 04 ошибка связи
25341,C,green,КЛИП: +3 АЗВ КЛИП 04,Поступило ДС 25341 КЛИП: +3 АЗВ КЛИП 04,Более не активно ДС 25341 КЛИП: +3 АЗВ КЛИП 04
